iter	Passed	Remaining
0	19	9913
1	31	7758
2	45	7481
3	57	7176
4	68	6792
5	80	6619
6	92	6515
7	99	6125
8	118	6481
9	136	6670
10	148	6601
11	156	6349
12	163	6142
13	172	5993
14	178	5777
15	184	5589
16	193	5484
17	198	5325
18	210	5327
19	216	5200
20	228	5207
21	237	5162
22	245	5081
23	256	5089
24	272	5179
25	283	5161
26	293	5137
27	307	5179
28	324	5267
29	341	5344
30	348	5266
31	357	5222
32	363	5147
33	376	5155
34	411	5473
35	437	5639
36	473	5927
37	501	6099
38	525	6216
39	578	6649
40	608	6816
41	626	6836
42	647	6883
43	675	7000
44	688	6959
45	698	6893
46	707	6819
47	719	6774
48	735	6773
49	747	6724
50	768	6763
51	775	6684
52	784	6617
53	810	6694
54	849	6871
55	876	6945
56	897	6976
57	930	7091
58	944	7059
59	952	6984
60	966	6959
61	983	6944
62	998	6926
63	1011	6889
64	1022	6842
65	1030	6778
66	1041	6727
67	1050	6671
68	1064	6649
69	1074	6600
70	1081	6537
71	1090	6483
72	1096	6411
73	1105	6364
74	1112	6304
75	1126	6282
76	1134	6234
77	1145	6197
78	1162	6197
79	1175	6169
80	1193	6172
81	1204	6137
82	1213	6096
83	1223	6061
84	1234	6025
85	1244	5989
86	1265	6009
87	1279	5989
88	1289	5955
89	1298	5915
90	1309	5885
91	1321	5860
92	1327	5809
93	1335	5768
94	1341	5719
95	1350	5684
96	1357	5641
97	1367	5609
98	1385	5610
99	1395	5581
100	1403	5545
101	1417	5529
102	1424	5490
103	1432	5455
104	1447	5447
105	1455	5411
106	1468	5392
107	1476	5360
108	1486	5332
109	1497	5310
110	1506	5279
111	1520	5266
112	1529	5238
113	1535	5200
114	1545	5172
115	1551	5137
116	1562	5113
117	1569	5080
118	1583	5071
119	1593	5045
120	1600	5013
121	1619	5019
122	1629	4995
123	1638	4967
124	1648	4944
125	1654	4910
126	1662	4881
127	1668	4848
128	1677	4823
129	1682	4789
130	1691	4765
131	1698	4736
132	1710	4719
133	1715	4686
134	1724	4661
135	1729	4629
136	1739	4610
137	1745	4579
138	1754	4557
139	1760	4527
140	1772	4512
141	1777	4482
142	1784	4454
143	1792	4431
144	1798	4402
145	1806	4380
146	1812	4352
147	1820	4330
148	1826	4303
149	1834	4280
150	1843	4259
151	1851	4238
152	1857	4212
153	1866	4193
154	1873	4169
155	1879	4144
156	1890	4129
157	1903	4121
158	1910	4098
159	1919	4078
160	1927	4058
161	1934	4036
162	1941	4014
163	1949	3993
164	1957	3973
165	1967	3959
166	1974	3937
167	1984	3921
168	1992	3903
169	2007	3897
170	2018	3883
171	2025	3862
172	2039	3854
173	2049	3839
174	2056	3818
175	2065	3802
176	2071	3780
177	2082	3767
178	2090	3748
179	2100	3734
180	2110	3719
181	2116	3698
182	2126	3682
183	2132	3661
184	2143	3649
185	2151	3632
186	2163	3620
187	2172	3605
188	2181	3589
189	2190	3573
190	2197	3555
191	2205	3537
192	2211	3517
193	2217	3497
194	2228	3484
195	2238	3472
196	2245	3453
197	2253	3436
198	2260	3418
199	2266	3399
200	2275	3384
201	2280	3364
202	2294	3356
203	2302	3340
204	2308	3321
205	2314	3302
206	2322	3287
207	2328	3268
208	2337	3253
209	2342	3234
210	2351	3221
211	2358	3204
212	2366	3189
213	2372	3171
214	2379	3153
215	2388	3140
216	2396	3124
217	2403	3109
218	2415	3099
219	2423	3084
220	2432	3070
221	2438	3053
222	2445	3037
223	2452	3022
224	2458	3004
225	2466	2989
226	2471	2972
227	2479	2957
228	2488	2944
229	2496	2930
230	2503	2915
231	2511	2901
232	2517	2885
233	2524	2870
234	2531	2855
235	2537	2838
236	2548	2827
237	2553	2811
238	2561	2797
239	2567	2781
240	2575	2768
241	2581	2751
242	2586	2735
243	2598	2726
244	2608	2715
245	2615	2700
246	2623	2687
247	2629	2671
248	2635	2656
249	2643	2643
250	2649	2628
251	2657	2615
252	2663	2600
253	2673	2589
254	2678	2573
255	2686	2560
256	2692	2546
257	2699	2531
258	2708	2519
259	2714	2505
260	2721	2492
261	2728	2478
262	2735	2465
263	2746	2455
264	2754	2442
265	2760	2428
266	2768	2416
267	2774	2402
268	2780	2387
269	2789	2376
270	2794	2361
271	2807	2352
272	2815	2341
273	2821	2327
274	2827	2313
275	2835	2301
276	2840	2287
277	2850	2276
278	2855	2262
279	2865	2251
280	2872	2238
281	2881	2227
282	2886	2213
283	2894	2201
